 Name,Description,Temperament,Image,Price,Hypoallergenic
Belgian Malinois,"The Belgian Malinois is a sturdy dog of square proportion with moderately heavy, but oval, bone. It is elegant, with very proud head carriage. The overall impression is of power without bulkiness. The gait is smooth and easy, seemingly effortless rather than hard driving. Such a gait gives the impression of tirelessness. The Malinois has a tendency to run in a wide circle rather than a straight line. Its coat is fairly short, straight, and hard, with a dense undercoat. Its expression is intelligent and questioning.","Intense best describes the Belgian Malinois. This is a high-energy breed with a need for regular mental and physical stimulation. It is alert, smart and serious, an ideal watchdog and guard dog. It is aloof with strangers and can be aggressive toward other dogs and animals. Some can be domineering. When confined, it often runs in sweeping circles in an effort to stay on the move. It is protective of its home and family.",https://www.dogbreedslist.info/uploads/dog-pictures/belgian-shepherd-malinois-2.jpg,Average $1000 - $1800 USD,Hypoallergenic: No
Bichon Frise,"The striking powder-puff appearance of the bichon derives from its double coat, with a soft dense undercoat and coarser, curly outer coat, causing the coat to stand off the body and even spring back when patted. It is a merry, agile breed, longer than it is tall, with an effortless trot. Its looks, combined with its fitness, enabled it to earn its living as a street performer. Its soft, inquisitive expression enabled it to worm its way into many hearts and laps.","Bichons love to show off, and they respond well to positive training but not harsh tactics. The Bichon is a naturally gentle, playful dog. Attending an obedience class will benefit both pet and owner. He loves activity and requires regular exercise. Highly intelligent and trainable, Bichons delight in entertaining their owners. Bichons also love to run - and they are fast! Your first ‘Bichon blitz’ will amaze you. If you have a yard, make sure it’s securely fenced and work hard on teaching your dog to listen and come when called.",https://www.dogbreedslist.info/uploads/dog-pictures/bichon-frise-2.jpg,Average $1000 - $2000 USD,Hypoallergenic: Yes
Bloodhound,"The Bloodhound is a steadfast trailer, built for endurance rather than speed. Its skin is thin and loose, falling in wrinkles around its head and throat. Its long ears are supposed to stir up scents as the ears rake along the ground, and its profuse wrinkles are said to trap the odors around the face, although neither of these assertions has ever been scientifically verified. Its dense short coat protects it from being caught in brambles. Its docile temperament makes it nonthreatening to the humans it is sometimes now called upon to trail. Its gait is elastic and free, with tail held high. Its expression is noble and dignified.","For all its calm manners at home, the bloodhound is a tireless trailer once on the track. It is tough, stubborn and independent, yet it is so gentle and placid that it is extremely trustworthy around children — although it may not be playful enough for some children's needs. Nonetheless, it is not the lazy ol' hound dog portrayed in folklore but instead an active, playful companion. Although not the easiest breed to train for traditional obedience, it is exceptionally easy to train in tasks involving trailing. The bloodhound is reserved with strangers.",https://www.dogbreedslist.info/uploads/dog-pictures/bloodhound-2.jpg,Average $700 - $1200 USD,Hypoallergenic: No
Bullmastiff,"This nearly square breed should be powerful and active — a combination of strength, endurance and alertness. It should appear to be 60 percent mastiff and 40 percent bulldog. Its gait is smooth and powerful, but its angulation is moderate. Its coat is short and dense, and its expression keen and alert. These attributes allowed the bullmastiff to both overtake and over-power intruders.","The Bullmastiff is innately good-natured, calm, easygoing and surprisingly gentle. It is a well-mannered house pet, but it needs sufficient room to stretch out. This is an extremely loyal breed, and though not excessively demonstrative, it is devoted to its family and good with children.",https://www.dogbreedslist.info/uploads/dog-pictures/bullmastiff-2.jpg,Average $1500 - $2500 USD,Hypoallergenic: No
Bull Terrier,"The Bull Terrier is the cavalier gladiator — a good-looking tough character. It is strongly built and muscular, longer than it is tall. Its muscle mass combined with its relatively low center of gravity make it difficult for opponents to knock it off its feet. Its distinctive head not only shows off its keen and determined expression, but also its great jaw strength. Its gait is smooth and easy. Its skin is tight, and its coat short, flat and harsh.","Exuberant, comical, playful, assertive and very mischievous describes the bull terrier. It is an imaginative breed that often sees things its own way and is stubborn to the end. It needs daily physical and mental exercise lest it exercise its powerful jaws on your home. For all its tough bravado, this is an extremely sweet-natured, affectionate and devoted breed. It can be aggressive with other dogs and small animals.",https://www.dogbreedslist.info/uploads/dog-pictures/bull-terrier-2.jpg,Average $1200 - $2000 USD,Hypoallergenic: No
Basenji,"The Basenji is square-proportioned and high on leg. It is far more slightly built and longer-legged than most other primitive breeds, giving it a good amount of speed and the ability to perform the double-suspension gallop. Its erect ears help it locate prey in thick bush and may act as heat dissipaters. Its short coat also aids in dealing with the hot climate of Africa.","Some consider the basenji to have terrier-like mannerisms because it is feisty for a hound. More often it is considered catlike in mannerisms: clever, inquisitive, stubborn, independent and reserved. Its hunting roots are very evident, as it loves to chase and trail. It needs regular mental and physical stimulation, lest it become frustrated and destructive. Basenjis may be barkless, but they are not mute. They do make a sort of yodel, howl and shriek — and occasionally bark, but just one or two ""fox barks"" at a time.",https://www.dogbreedslist.info/uploads/dog-pictures/basenji-2.jpg,Average $1500 - $2000 USD,Hypoallergenic: No
Boykin Spaniel,"Boykin Spaniels are medium-sized spaniels, larger and rangier than American Cocker Spaniel but more compact than English Springer Spaniel. The breed’s hallmark is a beautiful solid-brown coat. Colors range from a rich liver to a luscious chocolate. The large, feathery ears hang close to the cheeks, setting off an expression of soulful intelligence. Boykin Spaniels move with the effortless and balanced gait typical of durable gundogs. Bred to work the lakes and swamps of their native South Carolina, web-toed Boykins can swim like seals.","The Boykin Spaniel is an obedient breed that is eager to please. They do require a consistent and firm pack leader, but will train relatively easily. This breed will always be waiting for their next command. The Boykin Spaniel does very well with and enjoys the company of children.",https://www.dogbreedslist.info/uploads/dog-pictures/boykin-spaniel-2.jpg,Average $700 - $1200 USD,Hypoallergenic: No
Brussels Griffon,"The Brussels Griffon is square-proportioned, thickset and compact. It has good bone for its size. Its movement is a purposeful trot, with moderate reach and drive. In temperament it is full of self-importance, and its carriage reflects this attitude. Its almost human expression attracts attention and admirers. Its coat can be rough, with hard wiry hair — which is longer around the head — or smooth, with a short glossy coat.","The spunky Brussels griffon is full of itself, brimming with self-confidence and gusto. It is bold, playful, stubborn and mischievous. It is usually good with other dogs and pets. It tends to bark and climb, and some Brussels griffons can be escape artists. This breed makes a saucy companion for a family wanting an entertaining, sensitive pet.",https://www.dogbreedslist.info/uploads/dog-pictures/brussels-griffon-2.jpg,Average $1800 - $2800 USD,Hypoallergenic: Yes
Bouvier des Flandres,"The Bouvier des Flandres is a versatile breed able to perform a variety of functions, including cattle herder, draft dog and guard. As such, it combines great strength with agility and endurance. The bouvier is a compact, short-coupled dog, of square proportion and rugged appearance. Its gait is free, bold and proud. Its weatherproof coat is tousled and double, with a fine undercoat and a harsh, dry outer coat. It is trimmed (if necessary) to a length of about 2.5 inches. The head is accentuated by a beard and moustache, which adds to the dog's bold and alert expression.","The bouvier is a steady, stalwart companion that is loyal, devoted, fearless and protective. Given daily exercise, it is calm and well-mannered indoors, but ready for an adventure in the great outdoors. It is independent and confident of its own judgment, yet biddable and willing to please. It can be domineering. It is reserved, even protective, toward strangers and can be aggressive with strange dogs. It is very good with children, although it may nip at heels in play.",https://www.dogbreedslist.info/uploads/dog-pictures/bouvier-des-flandres-2.jpg,Average $1500 - $2500 USD,Hypoallergenic: Yes
Border Terrier,"The Border Terrier is of medium bone, slightly taller than long. Its long legs impart the speed, agility and endurance necessary to follow a horse over all sorts of terrain, whereas its fairly narrow body allows it to squeeze through narrow passages in pursuit of a fox. Its gait displays good length of stride. Its coat consists of a short, dense undercoat covered by a very wiry, straight, somewhat broken outer coat, which should conform to the body. Its hide is very thick and loose fitting, affording protection from the bites of its quarry. The border is known for its distinctive otter head, and its alert expression matches its alert demeanor.","One of the few terriers bred to run with the pack, the border is one of the most amiable and tractable of the group. It is inquisitive, busy, friendly and biddable. It does like to hunt and can be independent, ingredients that make for a dog that may tend to roam if given the chance. It is generally good with other dogs and cats, but not with rodents. It is very good with children and makes a good companion for people of all ages. It digs, and some bark. Some are talented escape artists.",https://www.dogbreedslist.info/uploads/dog-pictures/border-terrier-2.jpg,Average $800 - $1500 USD,Hypoallergenic: Yes
Borzoi,"The Borzoi is a running hound capable of hunting large, fierce game in a very cold climate. As such, it retains the greyhound build necessary for running at great speed, but it is larger and stronger than the greyhound. Its jaws should be strong enough to hold down a wolf. The long, silky coat, which can be either flat, wavy or rather curly, provides protection against cold weather and snow. Borzois should possess elegance and grace, with flowing lines, whether standing or moving.","A breed of quiet elegance, the borzoi exemplifies the well-mannered house dog. Outdoors, it races with wild abandon, and it will chase any small animal that runs. It is independent but very sensitive. Although generally good with children, it may not be playful enough to satisfy some children. Some can be timid. It is reserved with strangers.",https://www.dogbreedslist.info/uploads/dog-pictures/borzoi-2.jpg,Average $1500 - $3000 USD,Hypoallergenic: No
Belgian Tervuren,"This Belgian Tervuren breed combines elegance and strength. It is square-proportioned and of medium bone. It is noteworthy for its exceedingly proud carriage. Its movement is lively, graceful and seemingly tireless, exhibiting an easy, effortless gait rather than a hard-driving action. It has a natural tendency to move in a circle rather than a straight line. It combines a dense undercoat with an outer coat consisting of abundant guard hairs that are long, well-fitting, straight and of medium harshness. Its expression is intelligent and questioning.","Alert, watchful and energetic, the Tervuren is an active and dependable companion that functions best when given daily mental and physical exercise. It enjoys playing and running outside, and can be a well-mannered companion inside as long as it is given sufficient exercise. It is smart and obedient, but independent. It is aloof with strangers and can be aggressive toward other dogs and animals. It may nip at the heels of children in an attempt to herd them.",https://www.dogbreedslist.info/uploads/dog-pictures/belgian-shepherd-tervuren-2.jpg,Average $1500 - $2000 USD,Hypoallergenic: No
Belgian Sheepdog,"The Belgian Sheepdog is an elegant, square-proportioned dog that is alert and agile with proud carriage. Its bone is moderately heavy. As a dog expected to herd for long hours, its gait is smooth, tireless and effortless rather than driving. It has a tendency to move in a circle rather than a straight line. It has an extremely dense undercoat along with an outer coat of abundant guard hairs that are long, well-fitting and straight. Its expression is intelligent and questioning; its black coloration is striking.","The Belgian Shepherd Dog was developed in Belgium as a herding dog to work sheep. He is enthusiastic and remarkably quick. He shows a natural tendency to be in motion. The Belgian was developed for endurance. He must be able to move and tend the flock all day and to guard it from all invaders. In addition to his inborn ability as guardian of the flocks, he is an exceptional watchdog and a tenacious and brave defender of his master and family. He is vigilant, and highly responsive to his owner's direction. He is alert, intelligent and inquisitive. While he is firmly loyal to those he knows and loves, he typically exhibits reserve with strangers.",https://www.dogbreedslist.info/uploads/dog-pictures/groenendael-2.jpg,Average $1500 - $3000 USD,Hypoallergenic: No
Beauceron,"The Beauceron is not a dog of extremes, but is a solid, balanced dog as befitting a true multipurpose dog ready to do a long day's work. Its body is powerful yet agile, its jaws strong, its gait fluid, effortless, and ground covering. The head is not held high when moving, but is lowered to the level of the back, as is typical of herding dogs. Its outer coat is straight, dense, and coarse, of medium length; this, combined with a dense undercoat, offers weather-resistant protection. An unusual trait is the presence of double dewclaws on the hindlegs, which seem to be a French tradition for herding and flock dogs. Although they serve no function, they were perhaps at one time associated with the best herders, and are now a breed trademark.","Beaucerons are uncannily intelligent and adept at any task involving learning, memory, and reasoning. They are courageous and calm, and make reliable, thoughtful guardians. This is an extremely loyal breed that is eager to please its family; however, if not properly trained, the Beauceron can run the family. Beaucerons are patient with children, but can be overwhelming to them or try to herd them. They may be wary of strangers and do not take to unfamiliar dogs. They can get along with other family dogs and pets.",https://www.dogbreedslist.info/uploads/dog-pictures/beauceron-2.jpg,Average $2000 - $2500 USD,Hypoallergenic: No
Boerboel,"The Boerboel is a large dog that is strong, confident and muscular with a distinctive, blocky head. Despite its size, it is the most agile of the mastiff-type breeds. The word Boerboel means ""Farm Dog"" and it serves as a capable working dog as well as a loyal companion in its home country of South Africa. The skin of a Boerboel should be dark on his stomach and under his fur, as well as the roof of his mouth, which protects against heat and sun. The coat is short, dense coat can be brindle, brown, cream, reddish brown or tawny.","The Boerboel is self assured and fearless. It is highly devoted to family and affectionate with children it knows, but can be aggressive toward strangers. Friends and other pets should be introduced with care, preferably early in the dog’s life. The Boerboel has an unusually high requirement for human companionship—periods of isolation will result in destructive and disobedient behavior.",https://www.dogbreedslist.info/uploads/dog-pictures/boerboel-2.jpg,Average $2000 - $4000 USD,Hypoallergenic: No
Bearded Collie,"The Bearded Collie is a medium-sized dog with a long, lean, strongly made body, which gives the impression of both strength and agility. Its gait is supple and powerful, with good reach and drive. The ability to make sharp turns, quick starts and sudden stops is essential in a sheep-herding breed, and the beardie must be able to keep this activity up for a long period of time under all conditions. Its coat is double with a soft, furry undercoat. The outer coat is flat, harsh and fairly straight; it is sufficient to protect the dog but not so much as to obscure the dog's lines. The beardie's expression is bright and inquiring.","The boisterous beardie is lively and playful, full of enthusiasm and energy. It is smart and obedient, but it is an independent thinker with a clownish sense of humor. It likes children, but it may be too rambunctious for small children and may try to herd them when playing.",https://www.dogbreedslist.info/uploads/dog-pictures/bearded-collie-2.jpg,Average $1500 - $2000 USD,Hypoallergenic: No
Black Russian Terrier,"The Black Russian Terrier must be strong of body and mind to perform its duties as a reliable guard and military dog. This is a large-boned and well-muscled dog, capable of pulling a heavy load, yet having the agility to traverse rocky terrain or overtake an adversary. The head and neck are powerful. A reliable, intelligent temperament is essential in a dog that also has strong protective instincts; courage is also a must. The weatherproof outercoat repels water while the undercoat insulates the dog from the cold. Length of coat should vary from 1.5 inches to 4 inches with longer coats detracting from the dog's working ability.","Calm, confident and courageous sums up the Black Russian Terrier. Reserved with strangers, BRTs are very attached to and protective of their family. They are fast learners, but also independent thinkers, and they can be stubborn if pushed to do something they don't want to do. BRTs are affectionate and social. They tend to stick close to their people, even inside the house. They are gentle and playful with children. They may not be good with strange or dominant dogs, but are fine with other pets and smaller canine housemates.",https://www.dogbreedslist.info/uploads/dog-pictures/black-russian-terrier-2.jpg,Average $3000 - $4000 USD,Hypoallergenic: No
Black and Tan Coonhound,"The Black and Tan Coonhound moderate build gives it a blend of strength, speed and agility. It is square or slightly longer than tall, with moderate bone. Its long ears may help stir up ground scents. Its deep muzzle allows room for olfactory apparatus. Its deep voice enables the hunter to locate the dog when it has treed its quarry. Its hair is short but dense, providing an all-weather-protective coat. Its expression is alert, friendly and eager. Its stride is easy and graceful, with head and tail held high.","Not the prototypical house dog, the black and tan coonhound, nonetheless, makes an exemplary pet. It is mellow, amiable, calm and unobtrusive indoors. Outdoors, its strong hunting instincts take over, and it can be difficult, if not impossible, to turn from a track after it starts trailing. As befitting a dog with its heritage, the black and tan is strong, independent and stubborn. It is gentle and tolerant with children, but it may be too independent to satisfy a playful child. It is reserved with strangers.",https://www.dogbreedslist.info/uploads/dog-pictures/black-and-tan-coonhound-2.jpg,Average $400 - $800 USD,Hypoallergenic: No
Bluetick Coonhound,"Bluetick Coonhounds are speedy and compact nocturnal hunters named for the mottled (or “ticked”) black-and-blue pattern of the glossy coat. A small female might stand 21 inches at the shoulder and weigh 45 pounds; a large male can top out at 27 inches and 80 pounds. Blueticks are well-muscled but sleek and racy, never chunky or clumsy. The baying, bawling, and chopping bark of Bluetick Coonhounds in hot pursuit might sound cacophonous to some, but to coon hunters it’s the music of the night.","The ideal owner will be happy about spending time with his hound, making sure he gets plenty of activities to keep body and mind healthy and occupied. Athletic and hardy, Blueticks are working dogs that need a job - such as hunting, obedience or agility - to stay happy. Living with a Bluetick can be very rewarding or very frustrating. These hounds are scenthounds, governed by their exceptional noses and prey drive. Plenty of exercise and a job to focus on are essential. Dog sports that Blueticks excel at include tracking, coursing ability test, obedience and agility not to mention night hunts, water races and treeing contests",https://www.dogbreedslist.info/uploads/dog-pictures/bluetick-coonhound-2.jpg,Average $300 - $1200 USD,Hypoallergenic: No
Bedlington Terrier,"This graceful, lithe dog has a distinctive silhouette. Its arched loin and racy outline give it great speed and agility. A wolf in lamb's clothing, the Bedlington is unrivaled in its ability to chase and fight agile but tough quarry. Its gait is light and springy. Its coat is a mixture of hard and soft hair standing off the skin, affording good protection as well as outstanding appearance.","The Bedlington is among the softer terriers, not only in looks and feel but in temperament. It is companionable, demonstrative and loyal. It enjoys its creature comforts and is a fairly quiet house dog. Even though it will seldom initiate a fight, it will not allow itself to be intimidated by other dogs and can be a scrappy fighter when pushed. It will give chase to small animals outdoors, but it can usually coexist with them indoors.",https://www.dogbreedslist.info/uploads/dog-pictures/bedlington-terrier-2.jpg,Average $1800 - $2500 USD,Hypoallergenic: Yes
Barbet,"The Barbet is a medium-sized, balanced dog, with characteristic thick, woolly, fleecy coat, assuring effective protection against cold and humidity. The length of the body, measured from the point of the shoulder to the point of the buttocks, is slightly more than the height at the withers. There is a characteristic beard, which gave the breed its name. The accepted colours of the breed are solid black, brown, fawn, grey, pale fawn, white, or more or less pied. All shades of red-fawn and pale fawn are permitted. The shade should, preferably, be the same as the colour of the body. Grey and white are extremely rare; mixed colours (except with white) are considered a fault. The most common colors are black or brown with white markings. The birth figures worldwide for 2007 are 176. All born were black or brown some with white markings on the chest, chin, and legs.","The Barbet is not aggressive or timid, being docile and very devoted to its master. They are very sociable and fond of the water. The Barbet is essentially a water dog, used for wild fowling. Nevertheless, it has several abilities of a pointer/setter without being a true setter. The breed has no fear of the cold, going into water in all types of weather.",https://www.dogbreedslist.info/uploads/dog-pictures/barbet-2.jpg,Average $2500 - $4000 USD,Hypoallergenic: Yes
Briard,"The Briard is square or slightly longer than it is tall and powerful without being course; the overall appearance is one of handsome form. Like all good herding dogs, it combines strength, flexibility, agility and endurance with the ability to make abrupt turns, springing starts and sudden stops. Its movement has been described as ""quicksilver,"" with supple, light strides that give the impression of gliding. Its undercoat is fine and tight, and its outer coat is coarse and dry, lying flat in long, slightly wavy locks. On the shoulders, the coat's length is 6 inches or more. The questioning, confident expression is enhanced by the longer eyebrows, as well as the long-appearing head.","Devoted and faithful, the briard is a loving and protective companion. It is independent, intelligent and self-assured, but it is also willing to please and eager to serve as a partner in adventure. It is reserved with strangers. It can be aggressive with other dogs and may nip at people's heels when playing. It tends to stay at home and may attempt to keep the family's children home as well!",https://www.dogbreedslist.info/uploads/dog-pictures/briard-2.jpg,Average $1500 - $3000 USD,Hypoallergenic: No
Berger Picard,"The Berger Picard is a medium-sized, well-muscled dog, slightly longer than tall, with a distinctive rough coat, erect ears, and a natural tail that normally reaches to the hock and is carried with a slight J-curve at the tip. The Berger Picard should be evaluated as a working sheep-herding dog, and exaggerations or faults should be penalized in proportion to how much they interfere with the dog’s ability to work.","The Berger Picard's attributes include a lively, intelligent personality and a sensitive and assertive disposition that responds quickly to obedience training. By and large, Picards are laid back and mellow but they are known for having a stubborn streak and being reserved towards strangers. They require a lot of socialization during the first two years of their lives. Picards are energetic and hard working, alert and are not excessive barkers. Some Picards are notoriously picky eaters, and it may be difficult to decide on a diet that you and the dog agree on. The breed also has a well-developed sense of humor, making them an endearing companion, and they continue to be used very effectively as both sheep and cattle herder in their native land and elsewhere. Like many herding breeds, Picards require human companionship and lots of it. Since they can be demonstrative to their owners and enthusiastic friends towards other animals, formal obedience training and plenty of positive socialization is a must. Athletic, loyal and filled with a desire to work a long day, the breed excels in any ""job"" as long as enthusiasm and praise is a part of the task.",https://www.dogbreedslist.info/uploads/dog-pictures/berger-picard-2.jpg,Average $2000 - $2500 USD,Hypoallergenic: No
Bergamasco,"A sheepdog with a strong work ethic, the Bergamasco's most unique characteristic is its coat, which contains ""dog hair,"" ""goat hair"" and ""wool"" that combine to form black or gray felt-like mats. The mats grow over the course of the dog's life, reaching the ground at approximately 6 years of age. The coat can actually smell like a sweater when it is wet. But despite its formidable appearance, the Bergamasco is really a trim, athletic sheepdog.","The Bergamasco is an alert, observant and patient dog breed with good self-control and balance. This breed is suited even as a guard and companion dog. The Bergamasco establishes close bond with his owner. Aggressive or overly shy behavior is a fault.",https://www.dogbreedslist.info/uploads/dog-pictures/bergamasco-2.jpg,Average $1000 - $2000 USD,Hypoallergenic: Yes
Bolognese dog,"The Bolognese is a small, white, compact dog with a distinctive white single coat. It is of small size, stocky and compact. It is of square build and well-muscled. The head is of medium length. The skull is slightly ovoid. The muzzle is large, black and almost square. It has a developed jaw and the upper lips don’t cover the bottom lips. Its lips are black. It has white, strong and evenly aligned teeth. Its eyes are well developed, open and round. The rims of the eyelids are black and the iris is a dark ochre color. The ears are set high and are long and hanging but rigid at the base. The tail is carried curved over the back. The Bolognese's height varies 10.5 to 12 inches for a male and 10-11 inches for a female. The weight varies between 4.5 and 9 lbs.","Very serious, generally not very high energy. Enterprising, docile, enjoying his masters, the Bolognese is slightly more reserved and shy than its cousin, the Bichon Frise. Bolognese enjoy companionship of people and form a close relationship with their owners. Vivacious, playful and happy, Bolognese get along very well with other animals. This willing little dog is quite responsive to obedience training. Outdoors he's rough-and-tumble; indoors he is quiet and happy. They are friendly with strangers. Get them accustomed to people and noises at an early age. Because of this breed’s size, they are prone to Small Dog Syndrome, human induced behaviors where the dog believes he is pack leader to humans. This causes many behavior problems, including separation anxiety and being timid.",https://www.dogbreedslist.info/uploads/dog-pictures/bolognese-dog-2.jpg,Average $1000 - $2500 USD,Hypoallergenic: Yes
Basset Bleu de Gascogne,"The first and immediate impression of a Basset Bleu de Gascogne should be that of a hound with substance and staying power. Rather large, but not too heavy. A Basset (low-slung) hound of superior type, denoting great ancestry, reflecting in both form and action, the extreme physical and hunting characteristics of its ancient stem. Every point of the Basset Bleu de Gascogne is for a purpose relevant to preserving the breed and its uniqueness. Judges are asked to keep this fact in mind when evaluating the merits of an individual hound.","Active, agile and lively with a fine nose and strong hunting ability, excellent in a pack or on his own. Affectionate and happy.",https://www.dogbreedslist.info/uploads/dog-pictures/basset-bleu-de-gascogne-2.jpg,Average $1300 - $1600 USD,Hypoallergenic: No
Basset Fauve de Bretagne,"The Basset Fauve de Bretagne is a smallish hound, built along the same lines as the Basset Hound, but lighter all through and longer in the leg. Wire-coated, the coat is very harsh to the touch, dense, red-wheaten or fawn. He measures 32 – 38 cm in height and weighs between 36 - 40 lbs but due the old, and no longer permitted, practice of registering mixed litters of Griffon and Basset Fauves sometimes a litter of bassets will produce a long legged dog more akin to the Griffon. They have coarse, dense fur which may require stripping. The hair on the ears is shorter, finer and darker than that on the coat. The ears just reach the end of the nose rather than trailing on the ground and should be pleated. They should have dark eyes and nose and ideally no crook on the front legs. The French standard says these are the shortest backed of all the basset breeds so they generally do not appear as exaggerated as the British Basset.","Smart, courageous and determined, the Basset Fauve de Bretagne is a serious hunter, easily adapting to different types of game or terrain. It is also an excellent companion, being cheerful, friendly and agreeable.",https://www.dogbreedslist.info/uploads/dog-pictures/basset-fauve-de-bretagne-2.jpg,Average $1200 - $1500 USD,Hypoallergenic: Unknown
Belgian Shepherd Laekenois,"The Belgian Shepherd Dog is an elegant, well-proportioned, medium-sized, square dog. By his majestic carriage and harmony of form, the dog of the Belgian Sheepherders gives the impression of elegant robustness. He is a hardy individual, accustomed to living in the open air and built to resist inclement weather and the atmospheric changes so frequent in the Belgian climate. His elegance and expression denote great strength of character, making him a proud representative of the herding breeds.","The Belgian Shepherd Dog was developed in Belgium as a herding dog to work sheep. He is enthusiastic and remarkably quick. He shows a natural tendency to be in motion. The Belgian was developed for endurance. He must be able to move and tend the flock all day and to guard it from all invaders. In addition to his inborn ability as guardian of the flocks, he is an exceptional watchdog and a tenacious and brave defender of his master and family. He is vigilant, and highly responsive to his owner's direction. He is alert, intelligent and inquisitive. While he is firmly loyal to those he knows and loves, he typically exhibits reserve with strangers.",https://www.dogbreedslist.info/uploads/dog-pictures/belgian-shepherd-laekenois-2.jpg,Average $1700 - $2500 USD,Hypoallergenic: No
Black Mouth Cur,"The Black Mouth Cur is a powerful, agile tree dog of medium size. The body is square or just slightly longer than tall. Legs are long enough to allow the dog to move quickly and with agility in rough terrain. The head is broad with a moderate stop and a moderately broad muzzle. Ears are set high and drop. The tail is straight, set low, and may be any length. The coat is short and close fitting. The Blackmouth Cur should be evaluated as a working dog, and exaggerations or faults should be penalized in proportion to how much they interfere with the dog's ability to work. Scars should neither be penalized nor regarded as proof of a dog's working abilities.","The Black Mouth Cur is a fast, hard hunter that finds game using its eyes, ears and nose. Silent trailers are preferred, although slightly semi-open on a very hot track is allowed. Never open like a hound. A loud, deep chop on bay or tree, ringing cry or slight yodel allowed. Never full-blown bawl mouthed. The Blackmouth Cur combines tenacity and courage with a strong desire to work. They are very loyal and protective of their owner and family.",https://www.dogbreedslist.info/uploads/dog-pictures/black-mouth-cur-2.jpg,Average $500 - $1300 USD,Hypoallergenic: No
Black Norwegian Elkhound,"The Black Norwegian Elkhound is a typical Spitz breed with a short compact body, dark eyes, ears standing straight up, and a curly tail carried over the back. It has a rich coat that does not stand out from the body. This is an all-weather hunting dog and the coat is very important. It must be able to keep out the heavy autumn rain in Scandinavia and endure the cold weather, which it does very well.","The Black Norwegian Elkhound is a very robust and hardy dog: very alert and full of power and pride. It is more strong-minded than the Grey Elkhound. The most recommended training method is one that focuses on motivating the dog; such as clicker training or reward-based training methods. Using punishment or dominance-based methods could negatively impact training with the Black Norwegian Elkhound. It is easy to train, but always needs something to do to be happy. It needs continuous exercise and activity in concert with its superb intelligence to do well. It is an excellent hunting dog and loves to be in the forest.",https://www.dogbreedslist.info/uploads/dog-pictures/black-norwegian-elkhound-2.jpg,Average $700 - $1000 USD,Hypoallergenic: No
Blue Lacy,"The Blue Lacy is medium in size with a light, balanced yet powerful build. Correct Lacy movement alludes to great speed, strength and dexterity. Its coat is short and sleek. There are three permissible color varieties. Blues are any shade of gray from light silver to dark charcoal. Reds range from light cream to rust. The tri combines these colors with a blue base and distinct red markings as appropriate for trim. White can appear on the chest, stomach and paws. Both the red and tricolored Lacys hold the name Blue Lacy due to the blue-color gene they possess. All Blue Lacys eyes are very bright and distinctive orange to yellow in color, which adds a unique touch to their appearance.","Blue Lacy Dogs in general are intelligent, intense, active, and alert. Developed to be both hunting and herding dogs, they display great drive and determination to work with big game and control difficult livestock. Young dogs may have too much energy and drive for small children. They are easy to train, learning new skills quickly.",https://www.dogbreedslist.info/uploads/dog-pictures/blue-lacy-2.jpg,Average $400 - $600 USD,Hypoallergenic: Unknown
Blue Picardy Spaniel,"A Blue Picardy Spaniel on average is around 22–24 inches (56–61 cm) high at the withers and weighs 43–45 pounds (20–20 kg). Its coat is speckled grey black forming a bluish shade, with some black patches. The coat is flat or a little wavy with feathering on the ears, legs, underside and tail. It has long legs with some setter characteristics. It has a long broad nose and muzzle, with thick ears covered in silky hair that usually end around the tip of the muzzle. Its chest is of medium size that descends down to the same level as the elbows. Both the forequarters and the hindquarters are well muscled. Its tail typically does not extend beyond the hock and is normally straight. The breed has many similarities with the Picardy Spaniel due to the two breeds' recent history. The Blue Spaniel is described as being softer, as well as the obvious difference in coat color. The Picardy has a brown coat whereas the Blue Picardy has a black and grey coat, which was brought into the breed by the introduction of English Setter blood. Similar in the modern era due to the close similarities of the two different breed standards. In addition, the Blue Picardy is a little faster, and has a slightly finer nose.","It is a versatile hunting dog, used for its ability to locate and retrieve game in harsh and adverse terrain and conditions. It is not specialised to any one type of terrain, and tends to score well in field trials. The Blue Picardy is considered to be a quiet breed, but requires a great deal of exercise as it has a high level of stamina. It loves to play, and is a responsive and obedient breed which thrives on human companionship. It is especially good with children.",https://www.dogbreedslist.info/uploads/dog-pictures/blue-picardy-spaniel-2.jpg,Average $900 - $1200 USD,Hypoallergenic: No
